precentral,Precentral
superiorfrontal,Superior-Frontal
rostralmiddlefrontal,Anterior-Middle-Frontal
parstriangularis,Parstriangularis
lateralorbitofrontal,Lateral-Orbito-Frontal
parsorbitalis,Pars-Orbitalis
parsopercularis,Pars-Opercularis
medialorbitofrontal,Medial-Orbito-Frontal
frontalpole,Frontal-Pole
inferiorparietal,Inferior-Parietal
superiorparietal,Superior-Parietal
supramarginal,Supra-Marginal
lateraloccipital,Lateral-Occipital
fusiform,Fusiform
superiortemporal,Superior-Temporal
inferiortemporal,Inferior-Temporal
middletemporal,Middle-Temporal
temporalpole,Temporal-Pole
transversetemporal,Transverse-Temporal
caudalmiddlefrontal,Caudal-Middle-Frontal
precuneus,Precuneus
cuneus,Cuneus
parahippocampal,Parahippocampal
insula,Insula
caudalanteriorcingulate,Caudal-Anterior-Cingulate
rostralanteriorcingulate,Rostral-Anterior-Cingulate
posteriorcingulate,Posterior-Cingulate
isthmuscingulate,Isthmus-Cingulate
